1,Pedersen  2007,17719337
2,Lee  2004,15135720
4,Issa  2015,26076856
5,Sidhu  2013,24004398
6,Chen  2006,16615675
7,Rajabi  2011,23051122
8,Ritchie  2008,19270852
9,Raviña  2007 ,16859777
10,Blaschke  2007 ,18030657
11,Tei  2004,15345794
12,Harrison-Woolrych  2006,16542208
13,Vieweg  2005,16156840
14,Digby  2010,20544619
15,Pham  2006,16849620
16,Salem  2019,31477476
28,Kontopoulos et al.  1981,7301675
29,Chu-Lin Tsai  2005,15837031
30,Sahashi et al.  2018 ,29126547
31,Kanjanauthai  2008 ,17919753
32,Tarabar  2008,18570170
33,Fayssoil  2011,21295285
34,Gregorio  2011,19540606
35,Le et al.  2019,30939273
36,Cullington  2013,23809388
37,Peters  2014,24508496
38,Gil  2003,14556883
41,Ginwalla  2009,19326637
42,Hanon  2010,20177760
51,Isbister  2006,16584372
53,Manini  2007,18072173
54,Mazur   1995,8707432
55,Pimentel  2008,18022786
56,Takaya  2009,19944332
57,Yamagiwa  2010,20199131
58,Choo  2009,19291568
59,Desmukh  2012,22412232
60,Huang  2007,17408770
61,Irie  2010,20966611
62,Thanavaro  2010,21411146
63,Thiruvenkaiajaran  2010,20514968
64,Jackson  1997,9308514
65,Cicci  2019,31911979
66,Rossi  2010,20394569
67,Colombo  2009,22276012
68,Woosley  1993,8445816
85,Green  1990,2321077
86,Traficante  2017,29849428
87,Philips  2007,17313469
88,Bodenhamer  1993,8340583
89,Choudhri  1995,7731343
90,Lee  2020,32089073
91,Bibler  1988,3263912
92,Stewart  2010,20529041
93,Segan  2020,32128485
94,Akers  2004,15040655
95,Asatryan  2017,29194874
96,Henstra  2017,28489458
97,Kent  2008,18363122
98,Olshansky  1982,6183970
99,Strasberg  1982,6184690
100,Mitchell  1989,2783374
101,Hayashi  1999,10234723
102,Gossinger  1987,3436333
103,Lopez  1987,3492908
104,Herrmann  1983,6829452
105,Matsuhashi  1989,2585889
106,Simons  1988,2900995
107,Brown  1986,3709557
112,Guelon  1986,3751946
113,Goodnough  2019,30777457
114,Vereckei  2013,23409733
115,Kohli  2019,30997339
116,Ali  2020,32850070
117,Farooq  2009,19655286
118,Marstrand  2018,31020182
119,Semedo  2020,33089050
120,Acosta-Materán  2016,27440957
121,Antoniou  2005,15927910
122,Chan  2009,19586358
123,Mukhtar  2015,26031986
124,Leitch  2007,17855324
125,Tanaka  2009,19602789
126,Kitt  2015 ,26438681
127,Gurbuz  2016,https://doi.org/10.1016/j.ehj.2015.07.004
128,Yazdan-Ashoori  2012,28357022
129,Hancox  2013,25165550
130,Kim  2005,16359290
131,Huang  2007,18070319
132,Kezerashvili  2007,17546486
133,Rosario  2010,20222297
134,Michalets  1998,9681092
135,Deamer  2001 ,11760927
136,Wilting  2006,16449492
137,Patane  2007 ,17689729
138,Lynch  2012,22825908
139,Lindsay  1990 ,2361389
140,Oberg and Bauman  1995 ,8602374
141,Sartori  1984,6465184
142,Wei  2017,29245320
143,Badshah  2009,19680025
144,Yoshioka  2011,30532838
145,Hadano  2013,30546746
146,Dale  2007,17284508
147,Altin  2007,17876386
148,Khan  2018,30193085
149,Bagchi  2010,20606839
150,Katz  2017,28755998
152,Bian  2020,32580784
153,Otsuka  1997,9372331
154,Osken  2017,27756965
155,Singh  2014,25101129
156,Meester  2001,11603256
157,Kozak  2017,28109524
158,O'Connel  2016,28491676
159,Lasoff  2016,26794455
160,Upadhyay  2016,27547470
161,Vaughn  2016,27461785
162,Mukarram  2016,26989420
163,Spinner  2016,25645123
164,Marzec  2015,DOI: 10.19102/icrm.2015.060107
165,Enakpene  2015,26052029
166,Marafa  2014,25345436
169,Tampi  2015,25619672
171,Varriale  1995,8551176
172,Ibrahim  2012,21075583
173,Han  2019,30697438
174,Agosti  2013,23896010
175,Dorsey  2000,10750939
176,Alter  2001,11529713
177,Appleby  1995,7628890
178,Siddiqui  2004,14729444
179,O'Brien  1999,10534216
180,Kriwisky  1990,2376181
181,Tamari  1982,7128627
184,Lim  2006,17148550
186,Wegener  2007,18006559
187,Kawaguchi  2012,22389418
188,Mathur  2017,28062741
189,Uum  1997,9132656
190,Huynh-Do  1996,8671988
193,Narang  2019,27154527
194,Zimmermann  1992,1644069
195,McMahon  2008,18359968
196,Leroy  1987,3609047
197,Ly  2007,17304444
198,Methe  2007,18344633
199,Kogut  2013,25114780
200,Aldariz  1986,2432486
201,Salvo  1995,7628136
204,Kay  1983,6630761
236,Tisdale  2001,11762558
242,Kotsia  2012,22474460
243,Liu  2013,24396259
244,Kumar  2017,28638664
245,Tam  2020,33029432
246,Aypar  2011,21955009
247,Kiriike  1987,3790644
248,Bertino  2002,11830802
252,Stevenson  1985,2410877
253,Grogan  2019,31630892
254,Hasan  1993,8488140
255,Saviuc  1993,8433408
256,Clark  1991,1937973
257,Rakovec  1984,6744407
258,Zehender  1989,2648788
264,Letsas  2009,19031039
270,Fresse  2021 ,33075384
271,Szekely  2020 ,32380291
272,Cole  2020 ,32726229
273,Jackson  2021,33779357
274,Sahu  2020,32024717
275,Loffi  2015,25648339
276,Hoehns  2001,11444585
277,Atkinson  2007,17697226
278,Letsas  2006 ,16449812
279,Kounas  2005,15869686
280,Lentini  2001,11740632
281,Prabhakar  2004 ,15851230
283,Atar  2003,12698686
284,Yalta  2006,17126428
285,Tong  2001,11989578
298,Di Micoli  2009 ,18294935
299,Schrickel  2003,14579055
300,Tarapues  2014,24424337
301,Husain  2010,20865683
302,van de Loo  1994,7846927
303,Letsas  2005,16260053
304,Gowda  2002,12424513
308,Ka?mierczak  2007,17669094
309,Huemer  2015,25823967
310,Urge  2008,18609153
